,Games,Year,Sport,Discipline,Athlete,Team,Gender,Event,Medal,Gold,Silver,Bronze
0,Athens (1896),1896,Gymnastics,Artistic Gymnastics,Carl Schumann,GER,Men,vault men,Gold,1.0,0.0,0.0
1,Athens (1896),1896,Gymnastics,Artistic Gymnastics,Louis Zutter,SUI,Men,vault men,Silver,0.0,1.0,0.0
2,Athens (1896),1896,Gymnastics,Artistic Gymnastics,Hermann WeingÃƒÂ¤rtner,GER,Men,vault men,Bronze,0.0,0.0,1.0
3,Athens (1896),1896,Athletics,Athletics,James Connolly,USA,Men,triple jump men,Gold,1.0,0.0,0.0
4,Athens (1896),1896,Athletics,Athletics,Alexandre Tufferi,FRA,Men,triple jump men,Silver,0.0,1.0,0.0
5,Athens (1896),1896,Athletics,Athletics,Ioannis Persakis,GRE,Men,triple jump men,Bronze,0.0,0.0,1.0
6,Athens (1896),1896,Gymnastics,Artistic Gymnastics,Konrad BÃƒÂ¶cker,GER,Men,team parallel bars men,Gold,1.0,0.0,0.0
7,Athens (1896),1896,Gymnastics,Artistic Gymnastics,Alfred Flatow,GER,Men,team parallel bars men,Gold,1.0,0.0,0.0
8,Athens (1896),1896,Gymnastics,Artistic Gymnastics,Gustav Felix Flatow,GER,Men,team parallel bars men,Gold,1.0,0.0,0.0
9,Athens (1896),1896,Gymnastics,Artistic Gymnastics,Georg Hilmar,GER,Men,team parallel bars men,Gold,1.0,0.0,0.0
10,Athens (1896),1896,Gymnastics,Artistic Gymnastics,Fritz Hofmann,GER,Men,team parallel bars men,Gold,1.0,0.0,0.0
11,Athens (1896),1896,Gymnastics,Artistic Gymnastics,Fritz Manteuffel,GER,Men,team parallel bars men,Gold,1.0,0.0,0.0
12,Athens (1896),1896,Gymnastics,Artistic Gymnastics,Karl Neukirch,GER,Men,team parallel bars men,Gold,1.0,0.0,0.0
13,Athens (1896),1896,Gymnastics,Artistic Gymnastics,Richard RÃƒÂ¶stel,GER,Men,team parallel bars men,Gold,1.0,0.0,0.0
14,Athens (1896),1896,Gymnastics,Artistic Gymnastics,Gustav Schuft,GER,Men,team parallel bars men,Gold,1.0,0.0,0.0
15,Athens (1896),1896,Gymnastics,Artistic Gymnastics,Carl Schumann,GER,Men,team parallel bars men,Gold,1.0,0.0,0.0
16,Athens (1896),1896,Gymnastics,Artistic Gymnastics,Hermann WeingÃƒÂ¤rtner,GER,Men,team parallel bars men,Gold,1.0,0.0,0.0
17,Athens (1896),1896,Gymnastics,Artistic Gymnastics,Nicolaos Andriakopoulos,GRE,Men,team parallel bars men,Silver,0.0,1.0,0.0
18,Athens (1896),1896,Gymnastics,Artistic Gymnastics,Spyros Athanasopoulos,GRE,Men,team parallel bars men,Silver,0.0,1.0,0.0
19,Athens (1896),1896,Gymnastics,Artistic Gymnastics,Petros Persakis,GRE,Men,team parallel bars men,Silver,0.0,1.0,0.0
20,Athens (1896),1896,Gymnastics,Artistic Gymnastics,Thomasios Xenakis,GRE,Men,team parallel bars men,Silver,0.0,1.0,0.0
21,Athens (1896),1896,Gymnastics,Artistic Gymnastics,Ioannis Chrysaphis,GRE,Men,team parallel bars men,Bronze,0.0,0.0,1.0
22,Athens (1896),1896,Gymnastics,Artistic Gymnastics,Phillippos Karvelas,GRE,Men,team parallel bars men,Bronze,0.0,0.0,1.0
23,Athens (1896),1896,Gymnastics,Artistic Gymnastics,Dimitrios Loundras,GRE,Men,team parallel bars men,Bronze,0.0,0.0,1.0
24,Athens (1896),1896,Gymnastics,Artistic Gymnastics,Ioannis Mitropoulos,GRE,Men,team parallel bars men,Bronze,0.0,0.0,1.0
25,Athens (1896),1896,Gymnastics,Artistic Gymnastics,Konrad BÃƒÂ¶cker,GER,Men,team horizontal bar men,Gold,1.0,0.0,0.0
26,Athens (1896),1896,Gymnastics,Artistic Gymnastics,Alfred Flatow,GER,Men,team horizontal bar men,Gold,1.0,0.0,0.0
27,Athens (1896),1896,Gymnastics,Artistic Gymnastics,Gustav Felix Flatow,GER,Men,team horizontal bar men,Gold,1.0,0.0,0.0
28,Athens (1896),1896,Gymnastics,Artistic Gymnastics,Georg Hilmar,GER,Men,team horizontal bar men,Gold,1.0,0.0,0.0
29,Athens (1896),1896,Gymnastics,Artistic Gymnastics,Fritz Hofmann,GER,Men,team horizontal bar men,Gold,1.0,0.0,0.0
