"Games,Year,Sport,Discipline,Athlete,Team,Gender,Event,Medal,Gold,Silver,Bronze"
"Athens (1896),1896,Aquatics,Swimming,alfred hajos,HUN,Men,100m freestyle men,Gold,1,0,0"
"Athens (1896),1896,Aquatics,Swimming,Otto Herschmann,AUT,Men,100m freestyle men,Silver,0,1,0"
"Athens (1896),1896,Aquatics,Swimming,dimitrios drivas,GRE,Men,100m freestyle for sailors men,Bronze,0,0,1"
"Athens (1896),1896,Aquatics,Swimming,Ioannis Malokinis,GRE,Men,100m freestyle for sailors men,Gold,1,0,0"
"Athens (1896),1896,Aquatics,Swimming,spiridon chasapis,GRE,Men,100m freestyle for sailors men,Silver,0,1,0"
"Athens (1896),1896,Aquatics,Swimming,Efstathios Chorophas,GRE,Men,1200m freestyle men,Bronze,0,0,1"
"Athens (1896),1896,Aquatics,Swimming,alfred hajos,HUN,Men,1200m freestyle men,Gold,1,0,0"
"Athens (1896),1896,Aquatics,Swimming,joannis andreou,GRE,Men,1200m freestyle men,Silver,0,1,0"
"Athens (1896),1896,Aquatics,Swimming,Efstathios Chorophas,GRE,Men,400m freestyle men,Bronze,0,0,1"
"Athens (1896),1896,Aquatics,Swimming,paul neumann,AUT,Men,400m freestyle men,Gold,1,0,0"
"Athens (1896),1896,Aquatics,Swimming,Antonios Pepanos,GRE,Men,400m freestyle men,Silver,0,1,0"
"Athens (1896),1896,Athletics,Athletics,Francis Lane,USA,Men,100m men,Bronze,0,0,1"
"Athens (1896),1896,Athletics,Athletics,Alajos Szokolyi,HUN,Men,100m men,Bronze,0,0,1"
"Athens (1896),1896,Athletics,Athletics,Thomas Burke,USA,Men,100m men,Gold,1,0,0"
"Athens (1896),1896,Athletics,Athletics,Fritz Hofmann,GER,Men,100m men,Silver,0,1,0"
"Athens (1896),1896,Athletics,Athletics,Thomas Curtis,USA,Men,110m hurdles men,Gold,1,0,0"
"Athens (1896),1896,Athletics,Athletics,Grantley Goulding,GBR,Men,110m hurdles men,Silver,0,1,0"
"Athens (1896),1896,Athletics,Athletics,Albin Lermusiaux,FRA,Men,1500m men,Bronze,0,0,1"
"Athens (1896),1896,Athletics,Athletics,Edwin Flack,AUS,Men,1500m men,Gold,1,0,0"
"Athens (1896),1896,Athletics,Athletics,Arthur Blake,USA,Men,1500m men,Silver,0,1,0"
"Athens (1896),1896,Athletics,Athletics,Charles Gmelin,GBR,Men,400m men,Bronze,0,0,1"
"Athens (1896),1896,Athletics,Athletics,Thomas Burke,USA,Men,400m men,Gold,1,0,0"
"Athens (1896),1896,Athletics,Athletics,Herbert Jamison,USA,Men,400m men,Silver,0,1,0"
"Athens (1896),1896,Athletics,Athletics,Dimitrios Golemis,GRE,Men,800m men,Bronze,0,0,1"
"Athens (1896),1896,Athletics,Athletics,Edwin Flack,AUS,Men,800m men,Gold,1,0,0"
"Athens (1896),1896,Athletics,Athletics,Nandor Dani,HUN,Men,800m men,Silver,0,1,0"
"Athens (1896),1896,Athletics,Athletics,Sotirios Versis,GRE,Men,discus throw men,Bronze,0,0,1"
"Athens (1896),1896,Athletics,Athletics,Robert Garrett,USA,Men,discus throw men,Gold,1,0,0"
"Athens (1896),1896,Athletics,Athletics,Panagiotis Paraskevopoulos,GRE,Men,discus throw men,Silver,0,1,0"
